1	⛪	Elohim; de -el in Israël
2	🙋	ani ma'amin: ik geloof
3	🔗	koppelt een bijzin aan
4	👨	isj; een vrouw heet isja
5	🔀	voorwaarde vooraf
6	➡️	wijst het lijdend voorwerp aan
7	🌍	Eretz Jisrael
8	1️⃣	sjema: JHWH echad
9	➡️	beweging ergens naartoe
10	👨	abba, Ab-raham
11	🍽️	aanschuiven aan tafel
12	🗣️	wajjomer: en hij zei
13	📍	be-resjit: ín het begin
14	👦	Ben-jamin, B'nai B'rith
15	🏠	Beth-lehem, Beth-el
16	🚪	naar binnen gaan
17	💬	Devarim: Deuteronomium
18	👑	koning David
19	🗣️	werkwoord bij dabar
20	👀	kijk, let op
21	👉	wijst één bepaald ding aan
22	⚪	zit in de naam JHWH
23	👤	wijst naar hem, ginds
24	🚶	halacha: de weg gaan
25	➕	plakt alles aan elkaar
26	👉	dit hier, vlakbij
27	✡️	JHWH, de Naam
28	✡️	Juda, waar Jood vandaan komt
29	✡️	Isra-el: strijdt met God
30	✋	jad: de leesstok
31	🚪	Exodus: jetsi'at Mitsrajim
32	🧠	da'at: kennis
33	☀️	Jom Kipoer
34	🪑	jesjiva: waar men zit
35	〰️	vergelijkt: net als
36	📎	geeft de reden
37	🌐	kol: alles bijeen
38	➡️	l'chaim: óp het leven
39	🚫	lo: streep erdoor
40	🤲	pakken en meenemen
41	📤	vandaan, weg van
42	👑	Melchi-sedek, Moloch
43	💀	mavet: de dood
44	🎁	Jo-nathan: JHWH gaf
45	🏘️	de ommuurde plaats
46	🤝	Immanu-el: God mét ons
47	👁️	En-gedi: bron én oog
48	⏳	tot dat punt toe
49	⬆️	erbovenop, eroverheen
50	👥	Am Jisrael chai
51	⬆️	alija: optrekken naar Israël
52	🔨	ma'asé: het gemaakte
53	😐	panim: altijd meervoud
54	👁️	ro'é: ziener
55	🏷️	HaSjem: de Naam
56	📍	ginds, niet hier
57	👂	Sjema Jisrael
58	📅	Rosj Hasjana
59	🔙	tesjoeva: inkeer, omkeer
60	✉️	sjaliach: de gezondene
61	👩	isja, gevormd uit isj
62	👉	meervoud van deze
63	🕳️	ein: er is geen
64	🔢	alef, de eerste letter
65	⬅️	erachteraan, daarna
66	🚷	verbod bij een bevel
67	4️⃣	Kirjat-Arba: vierstad
68	👤	ata: jij tegen een man
69	🧑	Adam, gevormd uit adama
70	👑	Adonai: mijn Heer
71	👬	Achi-melech, Achab
72	👧	bat mitswa
73	➕	erbij, evenzeer
74	📏	Kohen Gadol: hogepriester
75	🌍	goj, gojim
76	🛣️	derech: de weg gaan
77	❓	maakt er een vraag van
78	👤	hi: zij, die daar
79	👥	hem: zij samen
80	⛰️	Har-Magedon, Armageddon
81	5️⃣	Chumasj: de vijf boeken
82	👍	mazzeltov, ki tov
83	🏛️	Jeru-sjalem, stad van vrede
84	👶	jeled: kind
85	👆	ken: zó, juist
86	👆	ko amar: zó zegt
87	🕯️	Cohen, Kohn
88	❤️	lev, levav
89	🏜️	Mitsrajim, het slavenhuis
90	👁️	wie de wacht houdt
91	⚖️	misjpat: recht en vonnis
92	💯	me'a: een honderdtal
93	💧	majim, mikwe
94	❓	ma: wat, hoe
95	🔍	matsa: tegenkomen
96	💗	nefesj: adem en leven
97	👊	alleen Hifil: hij sloeg
98	🎒	opheffen en meedragen
99	⬇️	nefilim: de gevallenen
100	⛓️	Obadja: knecht van JHWH
101	🔟	de tien woorden
102	⏱️	ata: op dit moment
103	↔️	Hebreeër: van over de rivier
104	➕	od: er komt nog bij
105	♾️	le-olam: voor altijd
106	🧍	amad: blijven staan
107	👄	pe: mond én bevel
108	⚔️	Sabaoth: Heer der heerscharen
109	📜	mitswa: wat bevolen is
110	📣	Wajjikra: Leviticus
111	✨	kadosj, kaddisj
112	🔊	bat kol: hemelse stem
113	⬆️	koem: sta op
114	👤	Rosj Hasjana: jaarbegin
115	📦	sim: zetten, plaatsen
116	2️⃣	sjenajim; sjeni is tweede
117	7️⃣	Bathseba, Berseba
118	3️⃣	sjalosj, sjelisji
119	👑	Sar Sjalom: vredevorst
120	⬇️	tachat: eronder, in plaats
121	🌾	sade: het open veld
122	☁️	sjamajim, altijd meervoud
123	🚪	sja'ar: de stadspoort
124	➗	be-toch: in het midden
125	🌬️	ruach: adem en wind
126	😈	ra'a: het kwade
127	👎	jetser hara: kwade neiging
128	📚	rabbi: mijn grote
129	👁️	pakad: nagaan, omzien naar
130	🔟	zit in de tien-getallen
131	💬	ana: reageren, getuigen
132	⏱️	et: het juiste moment
133	🌳	ets chajim: levensboom
134	↩️	soer: opzij gaan
135	⭕	saviv: eromheen
136	📣	higgid: bekend maken
137	📜	Nevi'im: de profeten
138	🙏	na: toch, alsjeblieft
139	🗣️	ne'oem JHWH: spreekt de HEER
140	👑	werkwoord bij melech
141	📍	HaMakom: de Plaats
142	👨‍👩‍👦	misjpacha: de familie
143	⚔️	milchama: de strijd
144	❓	Micha-el: wíe is als God
145	🔥	mizbeach: waar geslacht wordt
146	💪	me'od: met heel je kracht
147	🍞	Beth-lehem: huis van brood
148	🕯️	Levi, Leviticus
149	🪙	kesef: zilver én geld
150	🏺	keli: vat, gereedschap
151	⬇️	Jarden: de afdalende
152	😨	jir'at JHWH: ontzag
153	🌊	Jam Soef: Schelfzee
154	🎯	chatat: je doel missen
155	🗡️	cherev: het zwaard
156	🥇	zahav: goud
157	🩸	dam; adom is rood
158	🙌	baruch ata: gezegend zijt gij
159	🧱	bana: bouwen, opbouwen
160	↔️	bein: ertussenin
161	➗	be-toch: midden erin
162	⚖️	o: keuze tussen twee
163	⛺	ohel mo'ed: tent der samenkomst
164	🙋	anochi: ik, nadrukkelijk
165	🔥	esj: het vuur
166	🌍	Adam kwam uit adama
167	⛪	Isra-el, Micha-el, Beth-el
168	👩	em, immi: mijn moeder
169	🪨	Eben-Haëzer: steen der hulp
170	📏	amma: de onderarmlengte
171	😠	af: neus én woede
172	👥	atem: jullie, meervoud
173	⚔️	ojev: de vijand
174	❤️	ahava: liefde
175	🤝	B'nai B'rith: verbondszonen
176	🏠	Beth-el, Beth-lehem
177	🧥	beged: kleding
178	🏛️	Babel, Babylon
179	🥩	basar: vlees, lichaam
180	🌅	boker tov: goedemorgen
181	🔍	bakasja: het verzoek
182	📏	gevul: grens, gebied
183	🌱	zera: zaad en nageslacht
184	🧠	Zacharia: JHWH gedenkt
185	💗	chesed: verbondstrouw
186	💪	esjet chajil: sterke vrouw
187	💓	l'chaim: op het leven
188	🎯	werkwoord bij chatat
189	💓	Chava, Eva: leven
190	🌙	chodesj: nieuwe maan
191	💪	chazak: wees sterk
192	➕	Jozef: hij voege toe
193	🏡	jerusja: de erfenis
194	🧱	nachon: het staat vast
195	✂️	een verbond snijden
196	✍️	Ketuvim: de Geschriften
197	🎯	lema'an: opdat, terwille van
198	❤️	levav, uitgebreid van lev
199	🌙	lajla; Lilith is nachtdemon
200	🏜️	Bamidbar: Numeri
201	⛺	machane: het kamp
202	🪄	matte: staf én stam
203	👼	Malachi: mijn bode
204	🔨	ma'asé, van asa
205	🥛	male: vol, vervullen
206	📅	mo'ed: de vastgestelde tijd
207	👦	na'ar: jongen, knecht
208	🏡	nachala: het erfdeel
209	🖐️	nata: uitstrekken, uitspannen
210	🛟	hatsala: redding
211	⚖️	avon: schuld en straf
212	🔥	ola: wat opstijgt
213	⛓️	avoda: dienst én arbeid
214	🚪	azav: achterlaten
215	⚔️	Filistijn; Palestina komt hiervan
216	👑	Farao van Egypte
217	🐑	tson: schapen en geiten
218	➗	be-kerev: te midden van
219	➡️	korban: het offer dat nadert
220	🦶	regel: voet én keer
221	😈	rasja: de goddeloze
222	📜	Thora: onderwijzing
223	6️⃣	sjesj: zes
224	🕊️	sjalom, Jeru-salem, Ab-salom
225	🥤	sjata: drinken
226	📦	aron: de verbondskist
227	🔄	acher: een andere
228	👂	ozen: het oor
229	💥	avad: te gronde gaan
230	👥	Asaf: hij verzamelt
231	🐄	behemoth: het grote beest
232	🧠	bina: inzicht
233	🐄	bakar: het rundvee
234	✅	bachir: de uitverkorene
235	🎭	gala: ontdekken; ook ballingschap
236	👨‍👩‍👦	le-dor wa-dor: geslacht na geslacht
237	🔍	midrasj: wat je zoekt
238	💀	harag: doden
239	🔥	zevach: het slachtoffer
240	🧓	zaken: oud én oudste
241	🏛️	chatser: de voorhof
242	🚪	chuts: buiten, de straat
243	🙇	hisjtachawa: zich neerwerpen
244	🌊	Jordaan, de afdalende
245	💪	jachol: in staat zijn
246	🛟	Jozua, Jezus, Hosanna
247	✋	kaf: de holle hand
248	✨	kavod; Ikabod: de eer week
249	🏁	kala: ten einde zijn
250	⚔️	milchama: de strijd
251	🔨	melacha: werk, arbeid
252	🎁	mincha: het spijsoffer
