grieks,nederlands,streak,score_goed,score_fout,laatst_geoefend
εἰς,"(+acc.) naar, tot, in, voor",31,17,6,2026-08-12
οὗτος,"deze, die, dit, dat",0,0,0,
ὅτι,"dat, omdat",0,0,0,
ἐκ,"uit, vanuit, van(af)",31,14,4,2026-08-12
πρός,"(+acc.) naar(toe), tot, tegen, aangaande; (+dat.) bij",0,0,0,
ὁ,"de, het",0,0,0,
καί,"en, ook, zelfs",6,6,6,2026-08-14
αὐτός,"hij, zij, het, zelf, dezelfde, hetzelfde",0,0,0,
σύ,"jij, u",0,0,0,
δέ,"en, maar, nu [geeft subtiel een volgende stap of lichte tegenstelling aan]",31,20,4,2026-08-12
ἐν,"(+dat.) in, op, bij, door",0,0,0,
ἐγώ,ik,0,0,0,
εἰμί,zijn,2,3,3,2026-08-12
λέγω,"zeggen, spreken, opdragen, noemen",0,0,0,
οὐ,"niet, nee",0,0,0,
ὅς,"die, dat, wie, wat",9,4,0,2026-08-12
θεός,god,0,0,0,
πᾶς,"alle(n), ieder, geheel",0,0,0,
μή,"niet, opdat niet",0,19,3,2026-08-12
γάρ,"want, namelijk, dus",0,0,0,
Ἰησοῦς,Jezus,0,0,0,
ἐπί,"(+gen.) op, over, tijdens; (+dat.) op (grond van), bij, voor, over; (+acc.) op, naar, tegen, gedurende",31,20,5,2026-08-12
πεινάω,hongerig zijn,0,0,0,
κύριος,"heer, meester",0,0,0,
ἔχω,"hebben, houden (voor)",2,19,0,2026-08-12
ὁράω,"(act./med.) zien, inzien, erop toezien dat; (pas.) verschijnen",0,0,0,
ἵνα,"opdat, dat, zodat",0,0,0,
γίνομαι,"worden, ontstaan, gebeuren, zijn",1,1,0,2026-08-12
διά,"(+gen.) door(heen); (+acc.) door, wegens",0,0,0,
ἀπό,"van, weg van, vanwege, sinds",0,0,0,
ἀλλά,"maar, desalniettemin",5,7,4,2026-08-12
ἔρχομαι,"komen, gaan",0,0,0,
ποιέω,"doen, maken (dat/tot)",0,0,0,
τίς,"wie, wat, welk(e)",0,14,2,2026-08-12
ἄνθρωπος,"mens, iemand",0,0,0,
τὶς,"iemand, één of andere, sommige(n)",0,0,0,
Χριστός,"Christus, Messias, gezalfde",31,18,6,2026-08-12
ὡς,"zoals, als(of), hoe, dat, toen, ongeveer",0,0,0,
εἰ,"als, indien",0,0,0,
οὖν,"dus, dan",5,16,1,2026-08-12
κατά,"(+gen.) gedurende, beneden, tegen; (+acc.) volgens, door",0,0,0,
μετά,(+gen.) met; (+acc.) na,0,0,0,
ἀκούω,"(+acc./+gen.) horen, luisteren naar, gehoorzamen",9,15,0,2026-08-12
δίδωμι,geven,0,0,0,
πατήρ,"vader, voorvader",0,0,0,
ἡμέρα,dag,1,14,5,2026-08-12
πνεῦμα,"geest, adem, wind",0,0,0,
υἱός,"zoon, kind",0,0,0,
ἀδελφός,"broer; (pl.) broers en zussen, familieleden",9,13,4,2026-08-12
ἤ,"of, dan",0,0,0,
ἐάν,"als, indien, wanneer",0,0,0,
εἷς,één,1,8,2,2026-08-12
περί,"(+gen.) over; (+acc.) rondom, (in verband) met",0,0,0,
λόγος,"woord, (toe)spraak, rede(n), verslag",0,0,0,
ἑαυτοῦ,"hemzelf, haarzelf, zichzelf",5,16,2,2026-08-12
οἶδα,"weten, inzien",0,0,0,
λαλέω,"spreken, zeggen",0,0,0,
οὐρανός,hemel,0,2,4,2026-08-12
μαθητής,"leerling, discipel",0,0,0,
λαμβάνω,"ontvangen, nemen",0,0,0,
γῆ,"aarde, land",1,12,0,2026-08-12
ἐκεῖνος,"die (daar), dat (daar)",0,0,0,
μέγας,groot,0,0,0,
πίστις,"vertrouwen, trouw, geloof, overtuiging, garantie",9,12,0,2026-08-12
πιστεύω,"vertrouwen, geloven, trouw zijn",0,0,0,
οὐδείς,"niemand, niets",0,0,0,
ἅγιος,"heilig, toegewijd",0,0,1,2026-08-12
ἀποκρίνομαι,antwoorden,0,0,0,
ὄνομα,"naam, autoriteit, reputatie",0,0,0,
γινώσκω,"leren kennen, begrijpen, inzien",5,1,3,2026-08-12
ὑπό,(+gen.) door; (+acc.) onder,0,0,0,
ἐξέρχομαι,"uitgaan, komen uit",0,0,0,
ἀνήρ,man,22,12,3,2026-08-12
γυνή,vrouw,0,0,0,
δύναμαι,"kunnen, in staat zijn",0,0,0,
οὕτω,"zo, op deze manier",1,18,5,2026-08-12
τέ,en,0,0,0,
θέλω,"willen, verlangen",0,0,0,
ἰδού,zie! [imper. bij ὁράω],5,8,2,2026-08-12
Ἰουδαῖος,"Joods, Judees; (subst.) Jood, Judeeër",0,0,0,
νόμος,"wet, Torah",0,0,0,
παρά,"(+gen.) van (de kant van); (+dat.) bij; (+acc.) naast, vergeleken met",1,9,2,2026-08-12
γράφω,schrijven,0,0,0,
εἰσέρχομαι,"binnengaan, binnenkomen",0,0,0,
κόσμος,wereld,0,13,6,2026-08-12
μέν,"weliswaar, nu [moeilijk vertaalbaar, geeft aan dat er nog een aanvulling volgt]",0,0,0,
καθώς,zoals,0,0,0,
ἄγγελος,"engel, boodschapper",1,4,1,2026-08-12
εὑρίσκω,vinden,0,0,0,
χείρ,hand,0,0,0,
ὄχλος,menigte,1,0,0,2026-08-12
ἁμαρτία,"zonde, misstap, zondigheid",0,0,0,
ἔργον,"werk, daad, taak",0,0,0,
δόξα,"glorie, eer",31,15,1,2026-08-12
ἄν,"[geeft mogelijkheid aan, vertaling afhankelijk van modus en tempus werkwoord]",0,0,0,
πόλις,"stad, stadstaat",0,0,0,
βασιλεία,"heerschappij, koninkrijk",5,14,4,2026-08-12
ἔθνος,"volk; (pl.) (niet-joodse) volkeren, heidenen",0,0,0,
τότε,"toen, op dat moment",0,0,0,
ἐσθίω,(op)eten,5,4,3,2026-08-12
καρδία,"hart, binnenste",0,0,0,
χάρις,"gunst, genade, dank",0,0,0,
πρῶτος,"(adj.) eerst, eerder, (meest) prominent; (adv.) (als) eerst(e)",22,3,3,2026-08-12
ἄλλος,ander,0,0,0,
ἵστημι,"(act./aor.1) doen staan, plaatsen, (vast)stellen; (med./pf./stamaor.) (gaan) staan; (pas.) gesteld worden",0,0,0,
πορεύομαι,"reizen, gaan, leven",22,6,0,2026-08-12
ὑπέρ,"(+gen.) ten behoeve van, voor, namens; (+acc.) meer, overheen; (+comp.) dan",0,0,0,
καλέω,"roepen, noemen",0,0,0,
νῦν,"nu, welnu",9,18,2,2026-08-12
σάρξ,"vlees, lichaam, mens",0,0,0,
ἕως,"tot(dat), zolang (als) (+gen.)",0,0,0,
προφήτης,profeet,0,6,1,2026-08-12
ἀγαπάω,"liefhebben, zorgen voor, waarderen",0,0,0,
ἀφίημι,"wegsturen, achterlaten, scheiden (van), laten (gaan), toestaan, vergeven",0,0,0,
ἐγείρω,"(op)wekken, wakker maken, ontwaken, opstaan, verschijnen",22,19,5,2026-08-12
λαός,"menigte, (groep) mensen",0,0,0,
σῶμα,lichaam,0,0,0,
πάλιν,"weer, opnieuw, terug, bovendien, anderzijds",1,1,1,2026-08-12
οὐδέ,"noch, en (ook) niet, zelfs niet",0,0,0,
ζάω,leven,0,0,0,
ὅστις,"die, dat, wie (ook maar), wat (ook maar)",5,14,2,2026-08-12
φωνή,"geluid, stem, klank, taal",0,0,0,
ζωή,leven,0,0,0,
βλέπω,"(in)zien, (be)kijken, gericht zijn op",0,19,2,2026-08-12
δύο,twee,0,0,0,
ἀποστέλλω,"(uit)zenden, (weg)sturen",0,0,0,
νεκρός,"(adj.) dood; (subst.) dode, lijk",9,12,0,2026-08-12
σύν,(+dat.) (samen) met,0,0,0,
ἀμήν,"amen, laat het zo zijn",0,0,0,
δοῦλος,slaaf,1,2,1,2026-08-12
αἰών,"eeuw, tijdperk, wereld",0,0,0,
ὅταν,wanneer,0,0,0,
ἀρχιερεύς,hogepriester; (pl.) belangrijke priesters,5,0,4,2026-08-12
βάλλω,"gooien, strooien, gieten, aandoen, neerzetten, bewerken",0,0,0,
θάνατος,dood,0,0,0,
δύναμις,"kracht, macht, krachtige/wonderlijke daad",17,11,4,2026-08-12
παραδίδωμι,"overhandigen, uitleveren, (zich) overgeven",0,0,0,
μένω,"(ver)blijven, wachten",0,0,0,
πῶς,hoe,31,4,4,2026-08-12
ἀπέρχομαι,"weggaan, vertrekken, voorbijgaan",0,0,0,
ζητέω,"zoeken (naar), onderzoeken, verlangen (naar), vereisen",0,0,0,
ἀγάπη,"liefde, zorg, waardering",31,18,1,2026-08-12
βασιλεύς,"koning, heerser",0,0,0,
ἐκκλησία,"vergadering, gemeente",0,0,0,
κρίνω,"(ver)kiezen, besluiten, (be)oordelen, veroordelen",22,5,5,2026-08-12
μόνος,"(adj.) alleen; (adv.) alleen maar, slechts",0,0,0,
οἶκος,"huis, huishouding, familie",0,0,0,
ἴδιος,"eigen, persoonlijk",2,9,1,2026-08-12
ἀποθνῄσκω,"sterven, de dood tegemoet gaan, worden gedood",0,0,0,
μέλλω,"zullen, van plan zijn",0,0,0,
ἀλήθεια,waarheid,5,6,1,2026-08-12
παρακαλέω,"erbij roepen, een beroep doen op, troosten, aansporen (tot), bemoedigen",0,0,0,
ἀνίστημι,doen opstaan; (med./aor.2) opstaan,0,0,0,
ὅλος,"(ge)heel, alle",5,12,3,2026-08-12
ὥρα,"uur, tijd",0,0,0,
σῴζω,"redden, verlossen, genezen",0,0,0,
ἀγαθός,goed,1,13,0,2026-08-12
δεῖ,"het is nodig, men moet [onpersoonlijke vorm in 3e persoon van δέω]",0,0,0,
ἐξουσία,"autoriteit, volmacht, recht",0,0,0,
ψυχή,"ziel, leven, persoon",1,3,0,2026-08-12
ὅτε,"wanneer, toen, zolang (als)",0,0,0,
αἴρω,"opheffen, verwijderen",0,0,0,
καλός,"goed, mooi",9,7,5,2026-08-12
ὁδός,"weg, reis, manier",0,0,0,
ἀλλήλων,(pron. recip.) (van/aan) elkaar [nom. ontbreekt],0,0,0,
ὀφθαλμός,oog,22,8,3,2026-08-12
τέκνον,kind,0,0,0,
τίθημι,"plaatsen, (neer)leggen, aanstellen",0,0,0,
Φαρισαῖος,Farizeeër,31,9,4,2026-08-12
αἷμα,bloed,0,0,0,
ἄρτος,"brood, voedsel",0,0,0,
γεννάω,"voortbrengen, verwekken, baren, het leven geven",2,2,1,2026-08-12
διδάσκω,"onderwijzen, leren (aan)",0,0,0,
ἕτερος,"anders, vreemd, verschillend",0,0,0,
ἐκεῖ,daar(heen),5,15,4,2026-08-12
περιπατέω,"(rond)wandelen, (je) leven (leiden)",0,0,0,
τόπος,"plaats, taak, mogelijkheid",0,0,0,
φοβέω,"vrezen, bang zijn (voor), ontzag hebben (voor)",1,8,1,2026-08-12
ἐνώπιον,"voor, in aanwezigheid van, voor het aangezicht van",0,0,0,
οἰκία,"huis, huishouding, familie",0,0,0,
ἔτι,"nog (steeds), al, meer, langer",5,0,0,2026-08-12
πούς,voet,0,0,0,
εἰρήνη,vrede,0,0,0,
δικαιοσύνη,"rechtvaardigheid, oprechtheid",9,13,3,2026-08-12
θάλασσα,"zee, meer",0,0,0,
κάθημαι,(gaan) zitten,0,0,0,
οὔτε,"noch, en (ook) niet",5,1,0,2026-08-12
ἀπόλλυμι,"vernietigen, te gronde richten; (med.) verliezen, te gronde gaan",0,0,0,
ἀκολουθέω,"volgen, navolgen",0,0,0,
μηδείς,"(adj.) geen; (subst.) niemand, niets",2,9,2,2026-08-12
πίπτω,"vallen, ten val komen",0,0,0,
ἑπτά,zeven,0,0,0,
προσέρχομαι,"komen, (voort)gaan (naar), instemmen (met)",2,2,2,2026-08-12
εὐθέως,"onmiddellijk, meteen",0,0,0,
καιρός,"gelegenheid, (de juiste) tijd, (het juiste) moment",0,0,0,
πληρόω,"vullen, vervullen, volledig uitvoeren",2,14,2,2026-08-12
προσεύχομαι,bidden,0,0,0,
μήτηρ,moeder,0,0,0,
ἄρχω,"(act.) heersen, regeren; (med.) beginnen",2,18,0,2026-08-12
κἀγώ,"en ik, ik ook [καί + ἐγώ]",0,0,0,
ὥστε,"daarom, dus, zodat, opdat",0,0,0,
ἕκαστος,"ieder, elk; (subst.) (een)ieder, iedereen",0,15,2,2026-08-12
καταβαίνω,"naar beneden gaan/komen, afdalen",0,0,0,
ὅπου,"waar, waar ook maar, terwijl",0,0,0,
ἀναβαίνω,"omhoog gaan, beklimmen, opkomen",9,1,0,2026-08-12
ἐκβάλλω,"uitwerpen, wegsturen, uitzenden, uithalen",0,0,0,
μᾶλλον,"(te) meer, liever, veeleer [comp. van μάλα]",0,0,0,
ἀπόστολος,"boodschapper, afgevaardigde, ambassadeur, apostel, zendeling",1,15,0,2026-08-12
δίκαιος,"rechtvaardig, rechtmatig, oprecht, terecht",0,0,0,
πέμπω,"zenden, sturen",0,0,0,
ὑπάγω,"weggaan, op weg gaan",9,10,1,2026-08-12
ὕδωρ,water,0,0,0,
πονηρός,"(adj.) slecht, kwaad; (subst.) (de/het) slechte/kwade",0,0,0,
ἀνοίγω,openen; (perf.) opengaan,1,2,3,2026-08-12
στόμα,mond,0,0,0,
ἐμός,"(pron. poss.) mijn, van mij",0,0,0,
σημεῖον,"teken, aanwijzing",17,1,5,2026-08-12
μαρτυρέω,"getuigen, verklaren, goedkeuring geven",0,0,0,
βαπτίζω,"dopen, wassen, onderdompelen",0,0,0,
εὐαγγέλιον,"goed nieuws, evangelie",2,10,2,2026-08-12
πρόσωπον,"(aan)gezicht, uiterlijk",0,0,0,
δώδεκα,twaalf,0,0,0,
κεφαλή,hoofd,1,15,0,2026-08-12
ἀποκτείνω,doden,0,0,0,
χαίρω,"blij zijn, zich verheugen; (imper./infin.) gegroet(!)",0,0,0,
πίνω,drinken,22,0,6,2026-08-12
φῶς,licht(bron),0,0,0,
αἰώνιος,"lange tijd geleden, eeuwig",0,0,0,
ἱερός,"(adj.) heilig, van de tempel; (subst.) heiligdom, tempel",31,18,0,2026-08-12
πῦρ,vuur,0,0,0,
τηρέω,"bewaken, bewaren, in acht nemen",0,0,0,
αἰτέω,"vragen, verzoeken (om)",22,12,4,2026-08-12
ἄγω,"leiden, brengen",0,0,0,
σάββατον,"[sg. en pl.] sabbat, week",0,0,0,
φέρω,"brengen, dragen, leiden",0,19,0,2026-08-12
